tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,,,
,,,,,,,,,,,,,,,,7.35,7.66,0.3
,,,,,,,,,,,,,,,,7.66,7.86,0.21
,,,,,,,,,,,,,,,,7.86,8.39,0.52
,,,,,,,,,,,,,,,,8.39,8.55,0.16
,,,,,,,,,,,,,,,,8.55,8.82,0.27
,,,,,,,,,,,,,,,,8.82,8.84,0.02
,,,,,,,,,,,,,,,,8.84,9.47,0.63
,,,,,,,,,,,,,,,,9.47,9.48,0.01
,,,,,,,,,,,,,,,,9.48,9.62,0.14
,,,,,,,,,,,,,,,,9.62,9.92,0.3
,,,,,,,,,,,,,,,,9.92,10.35,0.43
,,,,,,,,,,,,,,,,10.35,10.48,0.14
,,,,,,,,,,,,,,,,10.48,10.61,0.13
,,,,,,,,,,,,,,,,,,
